Name,TeamA,TeamB,ScoreA,ScoreB,Factor,Datetime,Type,ResultA,ResultB,Favorite,ScoreDiff,ResultDiff,Base,FBase,Exotic,Fav,Final
Mama,Great Britain (M),Spain (M),4,2,3,2024-06-11 12:00:00,Group,1.0,1.0,,2,0.0,0,0,0,0,0
Papa,Great Britain (M),Spain (M),1,1,3,2024-06-11 12:00:00,Group,1.0,1.0,,0,0.0,3,9,0,-4,9
Yannick,Great Britain (M),Spain (M),2,3,2,2024-06-11 12:00:00,Group,1.0,1.0,,-1,0.0,0,0,0,0,0
Liv,Great Britain (M),Spain (M),0,0,3,2024-06-11 12:00:00,Group,1.0,1.0,,0,0.0,2,6,0,0,6
Linus,Great Britain (M),Spain (M),0,2,3,2024-06-11 12:00:00,Group,1.0,1.0,,-2,0.0,0,0,0,0,0
Vroni,Great Britain (M),Spain (M),1,3,3,2024-06-11 12:00:00,Group,1.0,1.0,,-2,0.0,0,0,0,0,0
Noel,Great Britain (M),Spain (M),2,0,3,2024-06-11 12:00:00,Group,1.0,1.0,,2,0.0,0,0,0,0,0
Gina,Great Britain (M),Spain (M),3,0,3,2024-06-11 12:00:00,Group,1.0,1.0,,3,0.0,0,0,0,0,0
Claus,Great Britain (M),Spain (M),1,5,3,2024-06-11 12:00:00,Group,1.0,1.0,,-4,0.0,0,0,0,0,0
Oma,Great Britain (M),Spain (M),3,2,3,2024-06-11 12:00:00,Group,1.0,1.0,,1,0.0,0,0,0,0,0
Opa,Great Britain (M),Spain (M),0,0,3,2024-06-11 12:00:00,Group,1.0,1.0,,0,0.0,2,6,0,0,6
Mama,Great Britain (W),China (W),2,3,3,2024-06-11 14:15:00,Group,2.0,1.0,,-1,1.0,0,0,0,0,0
Papa,Great Britain (W),China (W),1,1,3,2024-06-11 14:15:00,Group,2.0,1.0,,0,1.0,0,0,0,0,0
Yannick,Great Britain (W),China (W),0,0,4,2024-06-11 14:15:00,Group,2.0,1.0,,0,1.0,0,0,0,0,0
Liv,Great Britain (W),China (W),4,3,3,2024-06-11 14:15:00,Group,2.0,1.0,,1,1.0,3,9,0,0,9
Linus,Great Britain (W),China (W),1,1,3,2024-06-11 14:15:00,Group,2.0,1.0,,0,1.0,0,0,0,0,0
Vroni,Great Britain (W),China (W),3,0,3,2024-06-11 14:15:00,Group,2.0,1.0,,3,1.0,2,6,0,0,6
Noel,Great Britain (W),China (W),1,1,3,2024-06-11 14:15:00,Group,2.0,1.0,,0,1.0,0,0,0,0,0
Gina,Great Britain (W),China (W),2,3,3,2024-06-11 14:15:00,Group,2.0,1.0,,-1,1.0,0,0,0,0,0
Claus,Great Britain (W),China (W),1,0,3,2024-06-11 14:15:00,Group,2.0,1.0,,1,1.0,3,9,0,0,9
Oma,Great Britain (W),China (W),0,2,3,2024-06-11 14:15:00,Group,2.0,1.0,,-2,1.0,0,0,0,0,0
Opa,Great Britain (W),China (W),1,1,3,2024-06-11 14:15:00,Group,2.0,1.0,,0,1.0,0,0,0,0,0
Mama,Germany (M),Australia (M),4,2,3,2024-06-11 16:30:00,Group,2.0,4.0,,2,-2.0,0,0,0,0,0
Papa,Germany (M),Australia (M),4,1,3,2024-06-11 16:30:00,Group,2.0,4.0,,3,-2.0,0,0,0,0,0
Yannick,Germany (M),Australia (M),0,0,3,2024-06-11 16:30:00,Group,2.0,4.0,,0,-2.0,0,0,0,0,0
Liv,Germany (M),Australia (M),1,3,3,2024-06-11 16:30:00,Group,2.0,4.0,,-2,-2.0,3,9,2,0,11
Linus,Germany (M),Australia (M),0,1,3,2024-06-11 16:30:00,Group,2.0,4.0,,-1,-2.0,2,6,1,0,7
Vroni,Germany (M),Australia (M),3,2,3,2024-06-11 16:30:00,Group,2.0,4.0,,1,-2.0,0,0,0,0,0
Noel,Germany (M),Australia (M),1,0,3,2024-06-11 16:30:00,Group,2.0,4.0,,1,-2.0,0,0,0,0,0
Gina,Germany (M),Australia (M),2,1,3,2024-06-11 16:30:00,Group,2.0,4.0,,1,-2.0,0,0,0,0,0
Claus,Germany (M),Australia (M),3,3,3,2024-06-11 16:30:00,Group,2.0,4.0,,0,-2.0,0,0,0,0,0
Oma,Germany (M),Australia (M),1,1,3,2024-06-11 16:30:00,Group,2.0,4.0,,0,-2.0,0,0,0,0,0
Opa,Germany (M),Australia (M),1,2,3,2024-06-11 16:30:00,Group,2.0,4.0,,-1,-2.0,2,6,1,0,7
